,s.no.,name,"cmp
rs.",p/e,"marcap
rs.cr.","divyld
%","npqtr
rs.cr.","qtrprofitvar
%","salesqtr
rs.cr.","qtrsalesvar
%","roce
%",tmp1,tmp2,tmp3,tmp4,tmp5,tmp6,tmp7,tmp8,tmp9,tmp10,L_Prc,H_Prc,B_Prc,H_Prc_date,B_Prc_date,Prof_marg_days,Prof%,C_Prof%
0,1861,Shalimar Prod.,0.79,250.86,77.76,0,0.06,-25,1.44,-20,0.08,,0.29,,,5.79,0.79,4.79,,,,0.29,5.79,0.29,2022-02-04,2022-02-04,0 days,1896.552,172.414
1,1932,Johnson Pharma,1.33,123.14,66.5,0,0.27,775,1.73,,0,,0.83,,,6.33,1.33,5.33,,,,0.83,6.33,0.83,2022-02-04,2022-02-04,0 days,662.651,60.241
2,1729,Yamini Invest,2.06,264.15,108.3,0,0.25,212.5,0.51,,0.39,,1.56,,,7.06,2.06,6.06,,,,1.56,7.06,1.56,2022-02-04,2022-02-04,0 days,352.564,32.051
3,1876,MFL India,2.07,25.11,74.59,0,-0.05,-600,1.32,-40,56.56,,1.57,,,7.07,2.07,6.07,,,,1.57,7.07,1.57,2022-02-04,2022-02-04,0 days,350.318,31.847
4,1761,Virtual Global,2.39,361.64,101.26,0,0.04,-66.67,0.03,-85,0.66,,1.89,,,7.39,2.39,6.39,,,,1.89,7.39,1.89,2022-02-04,2022-02-04,0 days,291.005,26.455
5,1226,Inventure Grow.,4.28,18.45,359.52,0,4.13,129.44,13.24,68.88,9.48,,3.78,,,9.28,4.28,8.28,,,,3.78,9.28,3.78,2022-02-04,2022-02-04,0 days,145.503,13.228
6,1788,Sambhaav Media,4.95,57.31,94.59,0,0.11,-64.52,10.04,-5.55,0.75,,4.45,,,9.95,4.95,8.95,,,,4.45,9.95,4.45,2022-02-04,2022-02-04,0 days,123.596,11.236
7,1399,Sundaram Multi.,5.01,235.05,237.46,0,1.62,183.26,17.93,99.22,-1.98,,4.51,,,10.01,5.01,9.01,,,,4.51,10.01,4.51,2022-02-04,2022-02-04,0 days,121.951,11.086
8,1659,Esteem Bio Org.,5.01,65.56,124.57,0,1.01,621.43,2.36,65.03,4.16,,4.51,,,10.01,5.01,9.01,,,,4.51,10.01,4.51,2022-02-04,2022-02-04,0 days,121.951,11.086
9,1983,Sulabh Engineers,5.85,44.55,58.78,0,0.28,75,0.43,0,4.59,,5.35,,,10.85,5.85,9.85,,,,5.35,10.85,5.35,2022-02-04,2022-02-04,0 days,102.804,9.346
10,1107,JCT,6.09,173.91,528.8,0,-6.12,-3.55,196.65,49.74,10.95,,5.59,,,11.09,6.09,10.09,,,,5.59,11.09,5.59,2022-02-04,2022-02-04,0 days,98.39,8.945
11,1799,Baroda Extrusion,6.17,173.54,91.95,0,0.01,-94.44,29.07,117.92,-0.58,,5.67,,,11.17,6.17,10.17,,,,5.67,11.17,5.67,2022-02-04,2022-02-04,0 days,97.002,8.818
12,1904,Lesha Industries,6.41,470.07,70.51,0,0.07,600,0.34,-42.37,0,,5.91,,,11.41,6.41,10.41,,,,5.91,11.41,5.91,2022-02-04,2022-02-04,0 days,93.063,8.46
13,1055,Vikas Lifecare,6.48,48.62,601.92,0,2.88,4014.29,106.74,1031.92,8,,5.98,,,11.48,6.48,10.48,,,,5.98,11.48,5.98,2022-02-04,2022-02-04,0 days,91.973,8.361
14,1476,Cressanda Solns.,6.58,19975.07,199.75,0,-0.04,,0.05,400,0,,6.08,,,11.58,6.58,10.58,,,,6.08,11.58,6.08,2022-02-04,2022-02-04,0 days,90.461,8.224
15,2020,Country Condo,6.78,23.4,52.62,0,0.26,52.94,4.95,130.23,4.7,,6.28,,,11.78,6.78,10.78,,,,6.28,11.78,6.28,2022-02-04,2022-02-04,0 days,87.58,7.962
16,1228,PMC Fincorp,7.05,141.29,358.89,0,1.16,197.44,1.48,74.12,3.91,,6.55,,,12.05,7.05,11.05,,,,6.55,12.05,6.55,2022-02-04,2022-02-04,0 days,83.969,7.634
17,1869,Super Tannery,7.1,12.27,76.67,0.73,1.16,63.38,58.23,4.88,7.34,,6.6,,,12.1,7.1,11.1,,,,6.6,12.1,6.6,2022-02-04,2022-02-04,0 days,83.333,7.576
18,1625,GCM Securit.,7.12,75.11,135.25,0,-8.07,-4943.75,-3.47,-175.43,15.98,,6.62,,,12.12,7.12,11.12,,,,6.62,12.12,6.62,2022-02-04,2022-02-04,0 days,83.082,7.553
19,1656,Prakash Steelage,7.18,33.66,125.66,0,-0.97,-246.97,9.07,66.12,,,6.68,,,12.18,7.18,11.18,,,,6.68,12.18,6.68,2022-02-04,2022-02-04,0 days,82.335,7.485
20,1875,Smiths & Founder,7.35,59.97,74.97,0,0.45,45.16,3.31,63.86,8.77,,6.85,,,12.35,7.35,11.35,,,,6.85,12.35,6.85,2022-02-04,2022-02-04,0 days,80.292,7.299
21,1463,Genpharmasec,7.47,99.92,206.81,0,-0.61,-221.05,5.02,29.38,7.9,,6.97,,,12.47,7.47,11.47,,,,6.97,12.47,6.97,2022-02-04,2022-02-04,0 days,78.91,7.174
22,1486,Madhav Infra,7.58,22.21,194.16,0,2.09,132.1,100.06,147.06,4.19,,7.08,,,12.58,7.58,11.58,,,,7.08,12.58,7.08,2022-02-04,2022-02-04,0 days,77.684,7.062
23,979,Mangalam Industr,7.71,852.22,741.42,0,0.11,131.43,0.29,-55.38,2.72,,7.21,,,12.71,7.71,11.71,,,,7.21,12.71,7.21,2022-02-04,2022-02-04,0 days,76.283,6.935
24,1859,Orchasp Ltd,7.91,108.7,78.27,0,0.24,170.59,9.35,31066.67,1.01,,7.41,,,12.91,7.91,11.91,,,,7.41,12.91,7.41,2022-02-04,2022-02-04,0 days,74.224,6.748
25,1864,Filatex Fash.,7.99,188.7,77.37,0.27,0.01,-66.67,7.77,202.33,0.25,,7.49,,,12.99,7.99,11.99,,,,7.49,12.99,7.49,2022-02-04,2022-02-04,0 days,73.431,6.676
26,2047,Earum Pharmaceu.,8.15,558.49,50.28,0,0.95,387.88,4.89,76.53,4.24,,7.65,,,13.15,8.15,12.15,,,,7.65,13.15,7.65,2022-02-04,2022-02-04,0 days,71.895,6.536
27,1268,Nila Infrastruct,8.15,62.66,321.02,0,-0.54,81.18,24.54,4.74,6.38,,7.65,,,13.15,8.15,12.15,,,,7.65,13.15,7.65,2022-02-04,2022-02-04,0 days,71.895,6.536
28,886,Sh.Global Trad.,8.2,1227.23,1043.14,0,1.61,475,7.37,,-0.42,,7.7,,,13.2,8.2,12.2,,,,7.7,13.2,7.7,2022-02-04,2022-02-04,0 days,71.429,6.494
29,1403,Prismx Global,8.24,162.44,233.96,0,0.3,-31.82,2.2,-13.04,3.38,,7.74,,,13.24,8.24,12.24,,,,7.74,13.24,7.74,2022-02-04,2022-02-04,0 days,71.059,6.46
30,1343,IL&FS Inv.Manag.,8.69,57.57,272.87,3.47,0.42,-61.11,11.78,-18.93,4.56,,8.19,,,13.69,8.69,12.69,,,,8.19,13.69,8.19,2022-02-04,2022-02-04,0 days,67.155,6.105
31,1837,ISF,8.71,131.34,82.75,0,0.2,300,0.33,3.12,4.13,,8.21,,,13.71,8.71,12.71,,,,8.21,13.71,8.21,2022-02-04,2022-02-04,0 days,66.991,6.09
32,2033,Triveni Enterpri,9,468.32,51.51,0,0.04,33.33,0,,1.22,,8.5,,,14,9,13,,,,8.5,14,8.5,2022-02-04,2022-02-04,0 days,64.706,5.882
33,420,JP Power Ven.,9.08,57.03,6222.99,0,-1.42,-103.17,901.91,15.8,7.18,,8.58,,,14.08,9.08,13.08,,,,8.58,14.08,8.58,2022-02-04,2022-02-04,0 days,64.103,5.828
